nct_id,ticker,phase,outcome_category,phase_clean,category_clean,car,car_long_window,short_raw,short_benchmark,estimation_window_return,unstable_estimation,needs_reverification,sign_disagreement,sign_disagreement_old,trustworthy,audit_status
NCT03060447,GILD,PHASE1,success,Phase 1,Success,0.0286295572687697,0.1885229468130191,0.0440862919901188,0.0900262664699504,-0.2062226686350404,False,True,False,False,False,
NCT04382053,NVS,PHASE2,success,Phase 2,Success,-0.041039286457699,-0.0519579259108968,-0.0417010477191559,0.0057039054515941,0.0109248192836222,False,True,False,False,False,
NCT05692154,SNY,PHASE3,success,Phase 3,Success,0.1072437579967205,0.1598760820943439,0.1087501078908657,-0.0238342709831224,0.1135609499017562,False,True,False,False,False,
NCT05453942,SNY,PHASE1,success,Phase 1,Success,-0.1251834682005353,-0.1642506624961734,-0.1352952424393769,-0.0128183531828682,0.0758651224856683,False,True,False,False,False,unconfirmed_recovery_candidate
NCT04057937,AMGN,PHASE2,success,Phase 2,Success,0.0305775185986961,0.086880800619104,0.0360809846130036,0.0589002612980105,-0.0760726708038564,False,True,False,False,False,
NCT03377179,RDHL,PHASE2,success,Phase 2,Success,0.3506736348774462,-0.229385208851024,0.6037735849056605,0.1359266432110151,-0.7482517482517482,True,False,False,False,False,
NCT04292730,GILD,PHASE3,success,Phase 3,Success,-0.03879473754739,-0.153843823739429,-0.037697900555548,-0.010595954081303,0.1388690195325219,False,True,False,False,False,
NCT03864042,PFE,PHASE1,failure_efficacy_safety,Phase 1,Failure,-0.021400425516582,0.0109357920144396,-0.0331492479508078,-0.0061147559177223,-0.2147754162343309,False,True,False,False,False,
NCT05421078,NAMS,PHASE2,success,Phase 2,Success,-0.0602654596637197,0.0319217530650514,-0.0546928019356304,-0.0364298871004854,0.3059177641971922,False,False,False,False,True,
NCT03781479,CPRX,PHASE2,success,Phase 2,Success,0.0302391328001777,-0.2697084038983814,0.0314770244161399,-8.774455163051975e-05,0.2466843058471493,False,True,False,False,False,
NCT02958865,PFE,PHASE2,success,Phase 2,Success,0.0326557493854449,0.1183440003681038,0.0364143405753001,-0.0245038536478642,0.0822865293967043,False,True,False,False,False,
NCT03036150,AZN,PHASE3,success,Phase 3,Success,0.0032254154066184,-0.1044397042845457,0.0048472463890003,-0.0002863684643817,0.1398576176278054,False,False,False,True,True,
NCT03110562,KPTI,PHASE3,success,Phase 3,Success,-0.0606466961828811,-0.1088754852854865,-0.1134215522755837,-0.0302559329886712,-0.299050687667567,False,False,False,False,True,
