nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw
NCT03345836,ABBV,Phase 3,Success,2022-08-15,2.924648440474388e-05,0.003547674151203495
NCT03989232,NVO,Phase 3,Success,2021-10-22,0.009231598108520436,0.025800195536624937
NCT01986348,KPTI,Phase 2,Business Termination,2021-08-02,-0.08207406275257183,-0.11035269152990856
NCT02141282,ABBV,Phase 2,Success,2022-12-19,-0.012111948850703505,-0.016074406645349537
NCT03987620,SCYX,Phase 3,Success,2021-09-08,0.032910482792296886,0.011993991422936334
NCT03895372,PFE,Phase 2,Success,2021-08-27,-0.05345372573056183,-0.047747186981133005
NCT02608268,NVS,Phase 1/2,Business Termination,2023-12-06,-0.019768504150988034,-0.01864859114950823
NCT03060447,GILD,Phase 1,Success,2021-04-21,-0.02376606775603155,-0.020786719191358438
NCT03941834,PFE,Phase 2,Business Termination,2024-06-10,-0.057593022158390905,-0.06395923625893574
NCT03235544,INCY,Phase 2,Success,2022-02-10,-0.09694229282592504,-0.09993186071627258
NCT03203642,SNY,Phase 2,Success,2023-02-06,-0.013299895585899217,-0.02133351692288976
NCT04556734,PFE,Phase 2,Success,2024-06-26,0.010691582143531352,0.008651647237124305
NCT04382053,NVS,Phase 2,Success,2021-11-30,-0.018633791253977433,-0.023928745921478867
NCT04421456,JAZZ,Phase 2,Business Termination,2023-06-15,0.026688561324954584,0.01942522434161309
NCT05692154,SNY,Phase 3,Success,2024-05-16,-0.035341593206478415,-0.03565035683351614
NCT04057937,AMGN,Phase 2,Success,2022-01-06,0.04867693014895118,0.016233520287616487
NCT01740427,PFE,Phase 3,Success,2017-04-26,-0.008811422994324294,0.00832340293108147
NCT04292730,GILD,Phase 3,Success,2021-01-26,-0.023748473238730416,-0.034338581653551525
NCT03864042,PFE,Phase 1,Failure,2024-09-27,-0.02907953522791181,-0.028135562433986516
NCT05421078,NAMS,Phase 2,Success,2024-09-27,0.12201283557687083,0.11189715134725353
NCT04476030,BIIB,Phase 3,Success,2023-11-07,-0.061621411061215756,-0.07115689518910329
NCT03781479,CPRX,Phase 2,Success,2021-06-01,-0.02566797292885143,-0.016100205747977436
NCT02958865,PFE,Phase 2,Success,2022-07-21,0.018107806723501325,0.020098176054149652
NCT03036150,AZN,Phase 3,Success,2021-07-07,-0.013502915394570674,-0.01127502643237599
NCT05044234,ABBV,Phase 2,Business Termination,2023-11-29,0.03607131523976928,0.03418164784784006
NCT04984278,JAZZ,Phase 3,Business Termination,2024-02-05,-0.0005723825364979604,0.0017927087558242683
NCT03110562,KPTI,Phase 3,Success,2021-07-08,-0.024361939919959545,-0.07421501681709275
NCT04380142,ABBV,Phase 3,Success,2022-11-18,0.05455549633473073,0.04410591854151358
NCT03599622,BMY,Phase 2,Failure,2024-07-03,-0.017907465878062998,-0.022440045256855834
NCT04688164,RLMD,Phase 3,Failure,2024-03-26,-0.029737449586599015,-0.0021458696077492068
NCT03653026,ABBV,Phase 3,Success,2021-11-26,-0.0018278781435889374,-0.0031993952507715084
NCT02924376,INCY,Phase 2,Success,2023-02-23,-0.014373257029933657,-0.030253156830993055
NCT03487848,BMY,Phase 2,Business Termination,2021-04-20,0.027838786835372477,0.029174499328681103
NCT02007512,PFE,Phase 2,Success,2018-02-06,-0.08475076187532457,-0.08688569216053066
NCT04724837,AZN,Phase 2,Success,2024-07-30,0.029460462870418272,0.03413139658496367
NCT04706793,PFE,Phase 3,Failure,2023-10-16,-0.03687201888423465,-0.051343951225598095
NCT03746522,RYTM,Phase 3,Success,2023-12-01,0.06786831160264244,0.14637186775462951
NCT02647359,PTCT,Phase 2,Success,2022-05-27,-0.09927276682303808,-0.07270410211321576
NCT01850004,BMY,Phase 2,Success,2018-11-02,0.01705031840037695,0.02658913986056688
NCT02678312,NVS,Phase 2/3,Failure,2023-02-10,0.021097944509711836,0.014014312027564424
NCT04109313,NVS,Phase 2,Success,2023-09-29,-0.023581863114501868,-0.019325606328257416
NCT03610048,ALKS,Phase 3,Business Termination,2021-07-16,-0.028378271477760897,-0.01882164409858611
NCT03672175,BIIB,Phase 3,Success,2022-11-10,-0.007190862128592795,0.050734321864704945
NCT02486406,ABBV,Phase 2/3,Success,2021-10-05,0.022905299634918663,0.027811159377675088
NCT01828099,NVS,Phase 3,Success,2017-09-21,0.007873169611065633,0.01315964783762702
NCT02706847,ABBV,Phase 3,Success,2019-10-07,0.021816197445511762,0.016220789181290884
NCT03732638,PFE,Phase 2/3,Success,2021-08-09,0.02294703378897442,0.02478432294938715
NCT02437318,NVS,Phase 3,Success,2019-08-13,-0.026568875892285813,-0.02904745445098811
NCT02896192,RYTM,Phase 3,Success,2023-09-21,-0.03670477992876641,-0.07131214077880133
NCT04574362,PFE,Phase 3,Success,2023-12-14,-0.06803321344785745,-0.05516746595110922
NCT04442490,BIIB,Phase 3,Success,2023-12-05,0.006494663789836767,0.021531071628110965
NCT04147195,NVS,Phase 2,Business Termination,2023-01-26,-0.031173889545384366,-0.027871060637285172
NCT03911869,PFE,Phase 2,Business Termination,2023-05-31,0.009013197582562383,0.014010023783394887
NCT03837509,INCY,Phase 1/2,Business Termination,2023-03-20,0.011797842482148187,-0.002897738111430681
NCT04430855,ABBV,Phase 2,Success,2023-02-06,-0.011122150194581633,-0.01357448650616222
NCT04092452,PFE,Phase 2,Success,2023-06-15,-0.0039056792450984854,-0.01403486131235443
NCT02706951,ABBV,Phase 3,Success,2019-10-07,0.021816197445511762,0.016220789181290884
NCT01470612,PFE,Phase 3,Success,2021-09-17,-0.030757799197057886,-0.017669377925453755
NCT04818346,INCY,Phase 2,Success,2023-07-05,0.015639927287812716,0.0035570125485966386
NCT01639001,PFE,Phase 3,Success,2017-03-13,0.017458461024147685,0.021232643266280604
NCT02924727,NVS,Phase 3,Success,2023-06-22,-0.028289015710343132,-0.022783105134963955
NCT00658021,AZN,Phase 3,Success,2020-12-01,-0.012987761707074077,0.0034220409595315804
NCT03721172,AMGN,Phase 3,Success,2021-05-17,-0.0043442987368544905,-0.0018012888680779549
NCT04899349,NVS,Phase 2,Business Termination,2023-12-12,0.022974984030892646,0.03064739397733174
NCT03548220,AGIO,Phase 3,Success,2022-05-24,-0.04172062241871706,-0.05919462322045588
NCT03597503,SUPN,Phase 3,Business Termination,2024-02-20,0.005056401072145857,0.013788137716940874
NCT05005312,PFE,Phase 1,Success,2023-09-06,-0.02508336003492412,-0.03193889014975193
NCT04366713,PBYI,Phase 2,Success,2023-02-10,-0.08646372046915907,-0.0924369823662422
NCT05799495,PFE,Phase 2,Success,2024-10-09,0.010602930285537448,0.02029383550268582
NCT03148795,PFE,Phase 2,Success,2021-09-08,-0.034957870525322655,-0.02668659341282764
NCT04630158,NVS,Phase 2,Success,2024-04-18,0.011453261963743301,0.007520311370186938
NCT04139317,NVS,Phase 2,Business Termination,2024-02-08,-0.03637076674749309,-0.02841391491446732
NCT03207867,NVS,Phase 2,Business Termination,2024-03-01,-0.007883578726254139,-0.010179459542475233
NCT04988087,NVS,Phase 2,Business Termination,2024-07-08,0.025024590186896036,0.03288240205099324
NCT04154787,NVS,Phase 2,Business Termination,2024-07-05,0.011486215181225617,0.015862660505359116
NCT03597464,AUPH,Phase 3,Success,2022-12-14,-0.01329434253997918,-0.014957200297391338
NCT04558918,NVS,Phase 3,Success,2023-11-28,0.003930706398249257,0.008342857830182515
NCT03340974,GRTX,Phase 1/2,Success,2023-12-15,0.06853470809238628,-0.044117673870600616
NCT04677543,INSM,Phase 3,Success,2024-06-28,-0.05948667515334122,-0.07473818896711393
NCT04181723,ACAD,Phase 3,Success,2024-04-08,-0.017167631648482548,-0.037459312225825214
NCT02720523,ABBV,Phase 2/3,Success,2019-10-21,0.033117091622117484,0.04013394835651951
NCT04617275,PFE,Phase 2,Success,2022-12-08,0.03547370662994915,0.02818840863083305
NCT04571060,PFE,Phase 3,Success,2023-03-16,0.0322380925326352,0.02383304695280475
NCT03907969,AZN,Phase 1/2,Failure,2024-02-06,-0.04742270803717277,-0.04981307051124806
NCT04102189,NVO,Phase 3,Success,2023-04-18,-0.028761157418352,-0.013540939534912089
NCT02756611,ABBV,Phase 3,Success,2020-05-04,0.000765130296456285,0.01981850991964418
NCT02038777,PFE,Phase 1,Success,2022-03-18,0.02425006731529413,0.01589733469535104
NCT02892149,AKBA,Phase 3,Success,2022-06-28,-0.03984596007685055,-0.10178122335422157
NCT05262517,PFE,Phase 3,Business Termination,2024-05-16,0.007386250119384708,0.0031644942202184723
NCT04402866,TBPH,Phase 2,Success,2022-03-17,-0.007393161165085836,0.05211721392488755
NCT03969719,PFE,Phase 2,Success,2022-05-11,0.014941467409304219,0.026246115245289747
NCT03750552,TBPH,Phase 3,Success,2022-09-14,0.12140318004220434,0.098146086264157
NCT04026165,GILD,Phase 2,Success,2022-12-21,-0.03359537703090641,-0.023167315677033007
NCT04848220,PFE,Phase 2,Business Termination,2023-12-12,-0.0986484471228468,-0.087321187280884
NCT02684058,NVS,Phase 2,Success,2023-05-19,-0.04193710137441231,-0.024900287892576367
NCT04657666,JAZZ,Phase 3,Success,2023-07-20,0.06280133428971338,0.04525280607594362
NCT02955212,ABBV,Phase 3,Success,2020-08-06,-0.03798444003512706,-0.037106435954574635
NCT04095793,TBPH,Phase 3,Business Termination,2022-11-30,0.019291246611361154,0.039622647281047474
NCT03199053,AZN,Phase 3,Success,2024-04-17,0.008626219596828686,-0.005512745811253161
NCT02454933,AZN,Phase 3,Failure,2018-08-10,0.01880647522277608,0.014460695266413692
NCT03252587,BMY,Phase 2,Success,2022-09-10,0.01748063035931661,0.024869006021871698
NCT04007367,BIIB,Phase 3,Business Termination,2022-10-03,-0.06404910417306309,-0.0539386996141642
NCT03139604,INCY,Phase 3,Success,2020-05-15,-0.02383895069727419,-0.01881331129846764
NCT04921969,INCY,Phase 3,Success,2024-06-10,0.022005186683368073,0.015415887959179031
NCT03359785,NBIX,Phase 2,Success,2024-02-28,-0.06312756113363163,-0.02146362931307
NCT03377699,NVO,Phase 3,Success,2022-04-27,0.04217573345860964,0.02981041301410592
NCT05538312,PFE,Phase 1,Success,2024-09-23,-0.021085706363482712,-0.027562861168805575
NCT02128958,CANF,Phase 2,Success,2021-12-29,-0.01685056513643856,-0.058394160583941646
NCT04074161,NVO,Phase 3,Success,2022-04-27,0.04217573345860964,0.02981041301410592
NCT03850483,PFE,Phase 2,Success,2022-06-29,0.013578098715917966,0.013956177353636301
NCT03574597,NVO,Phase 3,Success,2024-08-30,-0.00945368769172091,-0.0048083903519801074
NCT04140695,VNDA,Phase 3,Business Termination,2024-05-14,0.08080406812589669,0.11377238897879938
NCT03317002,AZN,Phase 2,Success,2021-06-30,0.0234748585116063,0.024262835531279725
NCT03685591,PFE,Phase 1,Business Termination,2024-06-26,0.010691689271597637,0.00865172639765821
NCT01743989,NVS,Phase 3,Success,2021-07-15,-0.024303064646154428,-0.02538187087813626
NCT04517864,PFE,Phase 2,Business Termination,2022-12-28,-0.0027723176839871276,-0.007745852414760779
NCT04887064,AMGN,Phase 1,Success,2024-04-19,0.030343902401566432,0.029739598364997955
NCT03759392,CYTK,Phase 3,Success,2023-03-07,-0.026631796367654476,-0.06919186791282683
NCT02540330,ATOS,Phase 2,Business Termination,2022-04-05,-0.0814186602572747,-0.055999959309895875
NCT03730961,BMY,Phase 2,Success,2021-01-26,-0.03204730777313822,-0.02944845385637962
NCT04725240,RYTM,Phase 2,Success,2023-09-21,-0.03670472955383725,-0.07131214077880133
NCT03859427,AMGN,Phase 3,Success,2024-04-18,0.02967311255098944,0.024104720238729005
NCT04102579,NBIX,Phase 3,Success,2023-10-11,-0.005106027295040418,-0.009567312949753437
NCT03905330,MIRM,Phase 3,Success,2023-12-11,0.0087167668091689,0.07409747469577077
NCT03762265,SNY,Phase 3,Business Termination,2022-09-21,-0.04185416603376094,-0.05928464920528964
NCT05438602,PFE,Phase 2,Success,2024-09-23,-0.021085706363482712,-0.027562861168805575
NCT03756129,NVS,Phase 2,Success,2021-05-19,-0.00979612962177892,-0.009554730983302284
NCT03304054,CPRX,Phase 3,Success,2021-08-13,-0.043613835774383235,-0.038720541558565524
NCT03777436,AMGN,Phase 3,Success,2022-12-15,-0.038396215347101484,-0.04003178392055706
NCT01737827,NVS,Phase 2,Business Termination,2024-09-24,-0.004436209035137889,-0.003190274040722474
NCT03968159,ACAD,Phase 3,Success,2021-11-17,-0.03871909714826863,-0.07263922652347043
NCT05061693,INCY,Phase 2,Success,2024-08-27,0.04181607518682125,0.045858508145879995
NCT02691182,SUPN,Phase 3,Failure,2024-05-16,-0.04913336252616679,-0.030660371902132888
NCT04707469,NVO,Phase 3,Success,2024-04-03,-0.02930487635541632,-0.01978193963835262
NCT02725593,AZN,Phase 3,Success,2020-12-02,0.010659732023160893,0.021478711789675753
NCT03459443,LXRX,Phase 2,Business Termination,2022-08-11,0.29199802460091095,0.32945742952974966
NCT03832114,NVS,Phase 2,Success,2022-07-08,-0.015152041924283868,-0.0040341562192004465
NCT02680574,AKBA,Phase 3,Success,2022-06-27,0.0414361897330734,0.0674156983563019
NCT04164732,NVS,Phase 2,Success,2024-08-29,-0.004510516187185386,-0.005455333706762988
NCT03315143,LXRX,Phase 3,Business Termination,2022-10-28,0.004164810382252537,0.06220101424864777
NCT03775200,CMPS,Phase 2,Success,2023-04-24,-0.11303614397514448,-0.16462164628179643
NCT02980731,ABBV,Phase 3,Success,2023-02-22,0.023210854258881003,0.021266489700115798
NCT04124926,PHAT,Phase 3,Success,2022-07-29,-0.32630017851122006,-0.33126292544636105
NCT02929329,CYTK,Phase 3,Success,2021-07-20,0.48979899596475757,0.5579710588470368
NCT04074590,NVS,Phase 2,Business Termination,2023-11-09,0.009578582837925037,0.006848555888157248
NCT03322540,INCY,Phase 2,Success,2020-02-05,-0.036916749720672284,0.014643488426071771
NCT04962230,PFE,Phase 1,Success,2023-10-10,-0.0008517145271630744,-0.016432664709737144
NCT02201108,SNY,Phase 3,Success,2020-11-30,0.0012553553863542434,0.014022485185238853
NCT00490139,NVS,Phase 3,Success,2014-08-18,0.014479613819025329,0.022268017341086965
NCT03345849,ABBV,Phase 3,Success,2022-11-23,0.02825388329937984,0.02226099501240575
NCT03682705,ABBV,Phase 2,Success,2021-05-03,0.04430215166769931,0.034396473026879315
NCT02755597,ABBV,Phase 3,Success,2023-08-22,-0.019752744412962105,-0.02259702779225281
NCT04016779,SUPN,Phase 3,Success,2022-07-12,-0.03824098972799498,-0.04383924503709291
NCT01945775,PFE,Phase 3,Success,2018-10-03,0.024785260612051198,0.019060604547224802
NCT03559699,AGIO,Phase 3,Success,2021-12-10,0.03364806084226381,-0.014071554108198159
NCT01506609,ABBV,Phase 2,Success,2021-10-25,-0.0014959724842278435,-9.215525680628112e-05
NCT03689374,NVO,Phase 3,Success,2022-05-04,-0.022426810308188976,-0.02324561712541684
NCT04268823,NVS,Phase 2,Business Termination,2023-10-04,-0.056125837897864995,-0.04633805818281833
NCT04788511,NVO,Phase 3,Success,2024-06-11,-0.009864886681486749,0.0006319873355051797
NCT03502616,PFE,Phase 3,Success,2021-01-11,-0.0121273314084763,-0.0002710981837377169
NCT00585195,PFE,Phase 1,Success,2021-10-14,-0.0302250695398028,-0.017593751484369702
NCT03213457,ABBV,Phase 3,Success,2021-04-20,0.021285214355453694,0.02956312022469887
NCT04375397,ABBV,Phase 2,Success,2022-06-01,-0.03943964681123794,-0.02258094275314393
NCT04598269,ACRS,Phase 2,Success,2023-09-28,0.020337265836601753,-0.010670757968287092
NCT04017832,NVO,Phase 3,Success,2023-09-29,-0.04847004992457646,-0.04368675837671776
NCT03486457,PFE,Phase 3,Success,2024-02-08,0.04546409897976355,0.04102364828279925
NCT04143594,GILD,Phase 2,Success,2022-12-19,-0.042963033106473335,-0.03540746301435205
NCT05047601,PFE,Phase 2/3,Success,2023-05-06,-0.01685791749908668,-0.003901249957924291
NCT03718533,NVS,Phase 2,Business Termination,2024-02-05,-0.00043332905072073283,-9.667155422354856e-05
NCT04683939,BNTX,Phase 1/2,Business Termination,2024-10-02,0.04265213950847548,0.03772626491642761
NCT05266586,NAMS,Phase 2,Success,2024-07-03,0.006739532031973621,0.04112446398635683
NCT03019185,BIIB,Phase 2/3,Success,2023-10-11,0.008712614151402155,-0.003760646664292655
NCT01460160,BMY,Phase 2,Success,2018-08-21,-0.022071022948090414,-0.016691446836607726
NCT04217590,AZN,Phase 3,Success,2023-03-28,0.023330526053833983,0.02884347031671064
NCT03382639,NBIX,Phase 2,Success,2024-02-28,-0.06312761635262226,-0.02146362931307
NCT03287960,RYTM,Phase 3,Success,2023-05-23,0.019217891907876358,-0.003030256791548225
NCT03434353,GILD,Phase 2,Business Termination,2022-04-04,0.01918701245663705,0.01944340018771329
NCT01920061,PFE,Phase 1,Success,2021-10-07,-0.024484155237487655,-0.008486735424028113
NCT03624127,BMY,Phase 3,Success,2023-01-30,-0.028041768150404774,-0.02651383709538313
NCT04853368,ABBV,Phase 2,Business Termination,2024-07-16,0.014648345582926096,0.016491824864838467
NCT01524783,NVS,Phase 3,Success,2016-12-28,0.021274654026142953,0.014908770042290742
NCT04439071,PTCT,Phase 2/3,Business Termination,2023-06-26,-0.025951814650775954,-0.03622854908357365
NCT03237325,SNGX,Phase 3,Success,2022-08-29,-0.052000093077935135,-0.06024096477831731
NCT02108964,NVS,Phase 1/2,Success,2020-10-26,-0.07417914485664967,-0.0686950366579604
NCT02606461,KPTI,Phase 2/3,Success,2021-12-07,-0.06985369486651513,-0.11263732386543146
NCT02464228,KURA,Phase 2,Success,2024-06-26,-0.052597025294585785,-0.016714439949534476
NCT03548987,NVO,Phase 3,Success,2021-03-15,-0.01103439776363205,0.000697227585088056
NCT03427125,ARDX,Phase 3,Success,2023-06-29,-0.05655293443444015,-0.026548716755993906
NCT04186871,BMY,Phase 2,Success,2024-01-16,0.010134195924613818,-0.0112514235379777
NCT04753606,NAMS,Phase 2,Success,2024-06-11,-0.04500843158441835,-0.008163257362146514
NCT03611582,NVO,Phase 3,Success,2021-07-09,0.013725367499308734,0.01892996060377583
NCT03796676,PFE,Phase 3,Success,2021-06-04,4.085425027507226e-05,0.009090377207445766
NCT03877224,AZN,Phase 3,Success,2021-11-17,-0.04321895848423355,-0.03639454753552762
NCT01593254,BMY,Phase 2,Success,2019-04-11,0.018009792674561362,-0.006197752968248871
NCT02697734,NVS,Phase 3,Success,2021-10-19,0.024047000174502252,0.025060395284211667
NCT02819635,ABBV,Phase 2/3,Success,2022-06-30,-0.010076018841290111,0.005158560798649292
NCT04680975,SNY,Phase 2,Business Termination,2023-06-05,-0.017967263939714526,-0.0027440229961189777
NCT04072887,NVS,Phase 2,Success,2023-04-28,-0.008531817270850308,-0.004805794934312768
NCT03985293,PFE,Phase 2,Success,2022-06-30,-0.0052720297456607095,-0.0046261164575133185
NCT03373461,NVS,Phase 2,Success,2022-10-07,-0.022793879584460112,-0.030295440310370236
NCT03829657,TBPH,Phase 3,Business Termination,2023-01-20,-0.05376496171683927,-0.03933564910585963
NCT03523728,SNY,Phase 2/3,Failure,2022-11-09,-0.01998661749473086,-0.01879876174160211
NCT04682639,PFE,Phase 2,Success,2023-10-26,-0.0015473212479526297,-0.009403318558139917
