nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw,category_refined
NCT00753545,AZN,Phase 2,Success,2013-03-11,-0.0016181236920093,0.0024047235872624,Success
NCT02282020,AZN,Phase 3,Success,2019-12-02,-0.0258406676846679,-0.0114845727538825,Success
NCT03739866,GILD,Phase 1,Success,2020-12-09,-0.0170800862195312,-0.0129953862643128,Success
NCT04809623,GILD,Phase 1,Business Termination,2024-04-05,-0.029451782808557,-0.0298236399468664,Business Termination
NCT05139615,PFE,Phase 2,Business Termination,2023-11-09,-0.0413348691209541,-0.0580269097858306,Business Termination
NCT03345836,ABBV,Phase 3,Success,2022-08-15,2.924648440474388e-05,0.0035476741512034,Success
NCT03989232,NVO,Phase 3,Success,2021-10-22,0.0092315981085204,0.0258001955366249,Success
NCT01986348,KPTI,Phase 2,Business Termination,2021-08-02,-0.0820740627525718,-0.1103526915299085,Business Termination
NCT02141282,ABBV,Phase 2,Success,2022-12-19,-0.0121119488507035,-0.0160744066453495,Success
NCT03987620,SCYX,Phase 3,Success,2021-09-08,0.0329104827922968,0.0119939914229363,Success
NCT03895372,PFE,Phase 2,Success,2021-08-27,-0.0534537257305618,-0.047747186981133,Success
NCT02608268,NVS,Phase 1/2,Business Termination,2023-12-06,-0.019768504150988,-0.0186485911495082,Business Termination
NCT03060447,GILD,Phase 1,Success,2021-04-21,-0.0237660677560315,-0.0207867191913584,Success
NCT03941834,PFE,Phase 2,Business Termination,2024-06-10,-0.0575930221583909,-0.0639592362589357,Business Termination
NCT03235544,INCY,Phase 2,Success,2022-02-10,-0.096942292825925,-0.0999318607162725,Success
NCT03203642,SNY,Phase 2,Success,2023-02-06,-0.0132998955858992,-0.0213335169228897,Success
NCT04556734,PFE,Phase 2,Success,2024-06-26,0.0106915821435313,0.0086516472371243,Success
NCT04382053,NVS,Phase 2,Success,2021-11-30,-0.0186337912539774,-0.0239287459214788,Success
NCT04421456,JAZZ,Phase 2,Business Termination,2023-06-15,0.0266885613249545,0.019425224341613,Business Termination
NCT05692154,SNY,Phase 3,Success,2024-05-16,-0.0353415932064784,-0.0356503568335161,Success
NCT04057937,AMGN,Phase 2,Success,2022-01-06,0.0486769301489511,0.0162335202876164,Success
NCT01740427,PFE,Phase 3,Success,2017-04-26,-0.0088114229943242,0.0083234029310814,Success
NCT04292730,GILD,Phase 3,Success,2021-01-26,-0.0237484732387304,-0.0343385816535515,Success
NCT03864042,PFE,Phase 1,Failure,2024-09-27,-0.0290795352279118,-0.0281355624339865,Failure
NCT05421078,NAMS,Phase 2,Success,2024-09-27,0.1220128355768708,0.1118971513472535,Success
NCT04476030,BIIB,Phase 3,Success,2023-11-07,-0.0616214110612157,-0.0711568951891032,Success
NCT03781479,CPRX,Phase 2,Success,2021-06-01,-0.0256679729288514,-0.0161002057479774,Success
NCT02958865,PFE,Phase 2,Success,2022-07-21,0.0181078067235013,0.0200981760541496,Success
NCT03036150,AZN,Phase 3,Success,2021-07-07,-0.0135029153945706,-0.0112750264323759,Success
NCT05044234,ABBV,Phase 2,Business Termination,2023-11-29,0.0360713152397692,0.03418164784784,Business Termination
NCT04984278,JAZZ,Phase 3,Business Termination,2024-02-05,-0.0005723825364979,0.0017927087558242,Business Termination
NCT03110562,KPTI,Phase 3,Success,2021-07-08,-0.0243619399199595,-0.0742150168170927,Success
NCT04380142,ABBV,Phase 3,Success,2022-11-18,0.0545554963347307,0.0441059185415135,Success
NCT03599622,BMY,Phase 2,Failure,2024-07-03,-0.0179074658780629,-0.0224400452568558,Failure
NCT04688164,RLMD,Phase 3,Failure,2024-03-26,-0.029737449586599,-0.0021458696077492,Failure
NCT03653026,ABBV,Phase 3,Success,2021-11-26,-0.0018278781435889,-0.0031993952507715,Success
NCT02924376,INCY,Phase 2,Success,2023-02-23,-0.0143732570299336,-0.030253156830993,Success
NCT03487848,BMY,Phase 2,Business Termination,2021-04-20,0.0278387868353724,0.0291744993286811,Business Termination
NCT02007512,PFE,Phase 2,Success,2018-02-06,-0.0847507618753245,-0.0868856921605306,Success
NCT04724837,AZN,Phase 2,Success,2024-07-30,0.0294604628704182,0.0341313965849636,Success
NCT04706793,PFE,Phase 3,Failure,2023-10-16,-0.0368720188842346,-0.051343951225598,Failure
NCT03746522,RYTM,Phase 3,Success,2023-12-01,0.0678683116026424,0.1463718677546295,Success
NCT02647359,PTCT,Phase 2,Success,2022-05-27,-0.099272766823038,-0.0727041021132157,Success
NCT01850004,BMY,Phase 2,Success,2018-11-02,0.0170503184003769,0.0265891398605668,Success
NCT02678312,NVS,Phase 2/3,Failure,2023-02-10,0.0210979445097118,0.0140143120275644,Failure
NCT04109313,NVS,Phase 2,Success,2023-09-29,-0.0235818631145018,-0.0193256063282574,Success
NCT03610048,ALKS,Phase 3,Business Termination,2021-07-16,-0.0283782714777608,-0.0188216440985861,Business Termination
NCT03672175,BIIB,Phase 3,Success,2022-11-10,-0.0071908621285927,0.0507343218647049,Success
NCT02486406,ABBV,Phase 2/3,Success,2021-10-05,0.0229052996349186,0.027811159377675,Success
NCT01828099,NVS,Phase 3,Success,2017-09-21,0.0078731696110656,0.013159647837627,Success
NCT02706847,ABBV,Phase 3,Success,2019-10-07,0.0218161974455117,0.0162207891812908,Success
NCT03732638,PFE,Phase 2/3,Success,2021-08-09,0.0229470337889744,0.0247843229493871,Success
NCT02437318,NVS,Phase 3,Success,2019-08-13,-0.0265688758922858,-0.0290474544509881,Success
NCT02896192,RYTM,Phase 3,Success,2023-09-21,-0.0367047799287664,-0.0713121407788013,Success
NCT04574362,PFE,Phase 3,Success,2023-12-14,-0.0680332134478574,-0.0551674659511092,Success
NCT04442490,BIIB,Phase 3,Success,2023-12-05,0.0064946637898367,0.0215310716281109,Success
NCT04147195,NVS,Phase 2,Business Termination,2023-01-26,-0.0311738895453843,-0.0278710606372851,Business Termination
NCT03911869,PFE,Phase 2,Business Termination,2023-05-31,0.0090131975825623,0.0140100237833948,Business Termination (feasibility)
NCT03837509,INCY,Phase 1/2,Business Termination,2023-03-20,0.0117978424821481,-0.0028977381114306,Business Termination (feasibility)
NCT04430855,ABBV,Phase 2,Success,2023-02-06,-0.0111221501945816,-0.0135744865061622,Success
NCT04092452,PFE,Phase 2,Success,2023-06-15,-0.0039056792450984,-0.0140348613123544,Success
NCT02706951,ABBV,Phase 3,Success,2019-10-07,0.0218161974455117,0.0162207891812908,Success
NCT01470612,PFE,Phase 3,Success,2021-09-17,-0.0307577991970578,-0.0176693779254537,Success
NCT04818346,INCY,Phase 2,Success,2023-07-05,0.0156399272878127,0.0035570125485966,Success
NCT01639001,PFE,Phase 3,Success,2017-03-13,0.0174584610241476,0.0212326432662806,Success
NCT02924727,NVS,Phase 3,Success,2023-06-22,-0.0282890157103431,-0.0227831051349639,Success
NCT00658021,AZN,Phase 3,Success,2020-12-01,-0.012987761707074,0.0034220409595315,Success
NCT03721172,AMGN,Phase 3,Success,2021-05-17,-0.0043442987368544,-0.0018012888680779,Success
NCT04899349,NVS,Phase 2,Business Termination,2023-12-12,0.0229749840308926,0.0306473939773317,Business Termination (feasibility)
NCT03548220,AGIO,Phase 3,Success,2022-05-24,-0.041720622418717,-0.0591946232204558,Success
NCT03597503,SUPN,Phase 3,Business Termination,2024-02-20,0.0050564010721458,0.0137881377169408,Business Termination
NCT05005312,PFE,Phase 1,Success,2023-09-06,-0.0250833600349241,-0.0319388901497519,Success
NCT04366713,PBYI,Phase 2,Success,2023-02-10,-0.086463720469159,-0.0924369823662422,Success
NCT05799495,PFE,Phase 2,Success,2024-10-09,0.0106029302855374,0.0202938355026858,Success
NCT03148795,PFE,Phase 2,Success,2021-09-08,-0.0349578705253226,-0.0266865934128276,Success
NCT04630158,NVS,Phase 2,Success,2024-04-18,0.0114532619637433,0.0075203113701869,Success
NCT04139317,NVS,Phase 2,Business Termination,2024-02-08,-0.036370766747493,-0.0284139149144673,Failure
NCT03207867,NVS,Phase 2,Business Termination,2024-03-01,-0.0078835787262541,-0.0101794595424752,Business Termination
NCT04988087,NVS,Phase 2,Business Termination,2024-07-08,0.025024590186896,0.0328824020509932,Business Termination
NCT04154787,NVS,Phase 2,Business Termination,2024-07-05,0.0114862151812256,0.0158626605053591,Business Termination
NCT03597464,AUPH,Phase 3,Success,2022-12-14,-0.0132943425399791,-0.0149572002973913,Success
NCT04558918,NVS,Phase 3,Success,2023-11-28,0.0039307063982492,0.0083428578301825,Success
NCT03340974,GRTX,Phase 1/2,Success,2023-12-15,0.0685347080923862,-0.0441176738706006,Success
NCT04677543,INSM,Phase 3,Success,2024-06-28,-0.0594866751533412,-0.0747381889671139,Success
NCT04181723,ACAD,Phase 3,Success,2024-04-08,-0.0171676316484825,-0.0374593122258252,Success
NCT02720523,ABBV,Phase 2/3,Success,2019-10-21,0.0331170916221174,0.0401339483565195,Success
NCT04617275,PFE,Phase 2,Success,2022-12-08,0.0354737066299491,0.028188408630833,Success
NCT04571060,PFE,Phase 3,Success,2023-03-16,0.0322380925326352,0.0238330469528047,Success
NCT03907969,AZN,Phase 1/2,Failure,2024-02-06,-0.0474227080371727,-0.049813070511248,Failure
NCT04102189,NVO,Phase 3,Success,2023-04-18,-0.028761157418352,-0.013540939534912,Success
NCT02756611,ABBV,Phase 3,Success,2020-05-04,0.0007651302964562,0.0198185099196441,Success
NCT02038777,PFE,Phase 1,Success,2022-03-18,0.0242500673152941,0.015897334695351,Success
NCT02892149,AKBA,Phase 3,Success,2022-06-28,-0.0398459600768505,-0.1017812233542215,Success
NCT05262517,PFE,Phase 3,Business Termination,2024-05-16,0.0073862501193847,0.0031644942202184,Business Termination
NCT04402866,TBPH,Phase 2,Success,2022-03-17,-0.0073931611650858,0.0521172139248875,Success
NCT03969719,PFE,Phase 2,Success,2022-05-11,0.0149414674093042,0.0262461152452897,Success
NCT03750552,TBPH,Phase 3,Success,2022-09-14,0.1214031800422043,0.098146086264157,Success
NCT04026165,GILD,Phase 2,Success,2022-12-21,-0.0335953770309064,-0.023167315677033,Success
NCT04848220,PFE,Phase 2,Business Termination,2023-12-12,-0.0986484471228468,-0.087321187280884,Business Termination
NCT02684058,NVS,Phase 2,Success,2023-05-19,-0.0419371013744123,-0.0249002878925763,Success
NCT04657666,JAZZ,Phase 3,Success,2023-07-20,0.0628013342897133,0.0452528060759436,Success
NCT02955212,ABBV,Phase 3,Success,2020-08-06,-0.037984440035127,-0.0371064359545746,Success
NCT04095793,TBPH,Phase 3,Business Termination,2022-11-30,0.0192912466113611,0.0396226472810474,Excluded (ambiguous)
NCT03199053,AZN,Phase 3,Success,2024-04-17,0.0086262195968286,-0.0055127458112531,Success
NCT02454933,AZN,Phase 3,Failure,2018-08-10,0.018806475222776,0.0144606952664136,Failure
NCT03252587,BMY,Phase 2,Success,2022-09-10,0.0174806303593166,0.0248690060218716,Success
NCT04007367,BIIB,Phase 3,Business Termination,2022-10-03,-0.064049104173063,-0.0539386996141642,Business Termination
NCT03139604,INCY,Phase 3,Success,2020-05-15,-0.0238389506972741,-0.0188133112984676,Success
NCT04921969,INCY,Phase 3,Success,2024-06-10,0.022005186683368,0.015415887959179,Success
NCT03359785,NBIX,Phase 2,Success,2024-02-28,-0.0631275611336316,-0.02146362931307,Success
NCT03377699,NVO,Phase 3,Success,2022-04-27,0.0421757334586096,0.0298104130141059,Success
NCT05538312,PFE,Phase 1,Success,2024-09-23,-0.0210857063634827,-0.0275628611688055,Success
NCT02128958,CANF,Phase 2,Success,2021-12-29,-0.0168505651364385,-0.0583941605839416,Success
NCT04074161,NVO,Phase 3,Success,2022-04-27,0.0421757334586096,0.0298104130141059,Success
NCT03850483,PFE,Phase 2,Success,2022-06-29,0.0135780987159179,0.0139561773536363,Success
NCT03574597,NVO,Phase 3,Success,2024-08-30,-0.0094536876917209,-0.0048083903519801,Success
NCT04140695,VNDA,Phase 3,Business Termination,2024-05-14,0.0808040681258966,0.1137723889787993,Business Termination
NCT03317002,AZN,Phase 2,Success,2021-06-30,0.0234748585116063,0.0242628355312797,Success
NCT03685591,PFE,Phase 1,Business Termination,2024-06-26,0.0106916892715976,0.0086517263976582,Business Termination
NCT01743989,NVS,Phase 3,Success,2021-07-15,-0.0243030646461544,-0.0253818708781362,Success
NCT04517864,PFE,Phase 2,Business Termination,2022-12-28,-0.0027723176839871,-0.0077458524147607,Business Termination
NCT04887064,AMGN,Phase 1,Success,2024-04-19,0.0303439024015664,0.0297395983649979,Success
NCT03759392,CYTK,Phase 3,Success,2023-03-07,-0.0266317963676544,-0.0691918679128268,Success
NCT02540330,ATOS,Phase 2,Business Termination,2022-04-05,-0.0814186602572747,-0.0559999593098958,Business Termination
NCT03730961,BMY,Phase 2,Success,2021-01-26,-0.0320473077731382,-0.0294484538563796,Success
