ticker,drug_name,phase,outcome,category,success,date,tier,alpha,beta,car_short,ret_long_entry_exit,ar_long_entry_exit,ret_short_entry_exit,ar_short_entry_exit
ABBV,ABT-494 upadacitinib,Phase 3,met,Phase 3 met,True,2018-06-05,large,0.0005916618884906428,0.5719456870487806,-0.010674571101799035,-0.04636383767571084,-0.16378607835394376,-0.06671087898229444,-0.09461679553472979
ABBV,Depatuxizumab mafodotin ABT-414,Phase 3,miss,Phase 3 miss,False,2019-05-17,large,-0.00021716290363870961,0.41275285002048323,0.024175080319443376,-0.1611633921510195,-0.1382569089714718,0.02026286876040717,0.031200997695843835
ABBV,Elagolix,Phase 3,met,Phase 3 met,True,2015-01-08,large,0.0019909053935791106,0.4169357728774607,-0.012145171262315402,-0.10018064313888542,-0.3114789161764462,-0.053872820340567285,-0.0901660578176986
ABBV,Elagolix,Phase 3,met,Phase 3 met,True,2016-02-10,large,-0.00038552253233347283,0.4944656046823058,0.0053929745485299385,0.18721907077804412,0.2859248627806683,-0.06368002509197124,-0.014454010317131005
ABBV,Elagolix,Phase 3,met,Phase 3 met,True,2018-03-13,large,0.0021646411739271254,0.3681592713087734,-0.024662365034661793,-0.10211580537026954,-0.28054449361460465,-0.07314465577709561,-0.10108693621953146
ABBV,IMBRUVICA (ibrutinib),Phase 3,miss,Phase 3 miss,False,2018-07-11,large,-0.00026839539596818705,0.6106696525693849,0.0065888468163315395,-0.042439144572082976,0.023790118136752136,0.02486930768050799,0.004974673525561579
ABBV,Imbruvica and Gazyva - iLLUMINATE,Phase 3,met,Phase 3 met,True,2018-05-24,large,2.9329005325020125e-05,0.5331978916612881,-0.06756490385691216,0.06827212788806003,0.0037548812869709902,-0.030934679299659096,-0.06921131889650123
ABBV,Risankizumab,Phase 3,met,Phase 3 met,True,2017-10-26,large,0.0012451543264986645,0.28275801282632873,-0.041967241214447726,0.46367820467582876,0.2663851199595484,-0.00784832715714956,-0.01634840084713829
ABBV,Risankizumab vs secukinumab,Phase 3,met,Phase 3 met,True,2020-01-14,large,0.00224714685826641,0.45963679659053913,-0.014527139555539081,-0.05147985302501035,-0.1715593916905872,-0.009099920813620543,-0.03635781420900175
ABBV,Rova-T (MERU),Phase 3,miss,Phase 3 miss,False,2019-08-29,large,0.00019197573565866662,0.32793176695755305,-0.010720727074933434,0.3452114623848739,0.284986458888252,0.06488180742743643,0.0693585767247984
