,0
NCT04167670,0.2665514644253144
NCT02927314,-0.0357142857142857
NCT03852433,0.12855753759358923
NCT02781584,-0.20622266863504046
NCT04927975,-0.007895686052886153
NCT04251156,-0.11145550518596015
NCT05195528,-0.23311129932542285
NCT03745820,-0.14447763276252668
NCT01926587,-0.12068965517241381
NCT02987543,0.08528296895486398
NCT03987451,0.18772248258494972
NCT02914522,0.13886901953252195
NCT04806503,-0.026888631859105505
NCT05094050,-0.009720364210835775
NCT04045145,0.0522348783369917
NCT04349098,-0.15044244929014194
NCT01889238,-0.2594070964132589
NCT03811574,0.12233883876848917
NCT05652660,-0.2594070964132589
NCT05673889,-0.2594070964132589
NCT03889639,0.14886350340354704
NCT02928224,-0.085874284823375
NCT04172831,0.09090909090909083
NCT01541215,0.20640151380931493
NCT03487276,0.3737023821810086
NCT03739866,0.13886901953252195
NCT03978520,0.11818701175562718
NCT03931291,-0.5217391664905211
NCT05104892,-0.12210148917733932
NCT02282020,0.2602303284168481
NCT03345836,0.061945180909916076
NCT03060447,-0.20622266863504046
NCT05144984,0.3345766807876551
NCT03989232,0.10512121792356077
NCT03987620,0.12499998246922273
NCT05453942,0.07586512248566835
NCT02141282,0.17686351575335468
NCT04292730,0.13886901953252195
NCT05692154,0.11356094990175625
NCT04382053,0.010924819283622211
NCT04057937,-0.07607267080385649
NCT03377179,-0.7482517482517482
NCT05421078,0.3059177641971922
NCT03781479,0.2466843058471493
NCT03864042,-0.21477541623433094
NCT02958865,0.08228652939670433
NCT03110562,-0.29905068766756704
NCT03036150,0.13985761762780546
NCT04380142,0.03638757170337281
NCT04688164,0.19361488017456718
NCT03653026,0.25382034741175685
NCT02924376,-0.10544254623549798
NCT02007512,-0.09750834814504883
NCT02647359,0.31085274011339115
NCT04706793,0.06733416375380918
NCT05035095,0.5111630259746083
NCT03746522,-0.35288366683759675
NCT04724837,0.3615176635185329
NCT04197479,-0.04728948602124661
NCT03672175,-0.06469812404999709
NCT04442490,0.5895549467635546
NCT04574362,0.2676773488723463
NCT02706847,0.49043420724022724
NCT02896192,0.06515299505981642
NCT02706951,0.09408383459930025
NCT01639001,0.2687115790297301
NCT04944784,-0.21088734385719343
NCT05005312,0.5187236905122099
NCT04366713,-0.6767241397028729
NCT03548220,-0.12058509565443387
NCT03496168,-0.05801757145404107
NCT04630158,0.10646832138245821
NCT04558918,0.10646842806902113
NCT03597464,1.9916213910314573
NCT03148795,-0.06878918532511191
NCT04916470,0.3424365155172264
NCT03340974,-0.22952218430034133
NCT04571060,0.2676773488723463
NCT04677543,0.005725231129532604
NCT02756611,0.06194476388272885
NCT04181723,-0.07530743781916571
NCT02720523,0.06194476388272885
NCT03819153,0.26261392622678703
NCT04102189,-0.0454546973829546
NCT02892149,0.6966759495812715
NCT02955212,0.2237777108430985
NCT04402866,0.1108564580005762
NCT04657666,0.095347607304477
NCT03750552,-0.32387478797776914
NCT02454933,0.03253725242656613
NCT04595370,-0.05465676898395799
NCT03377699,0.10400195487985098
NCT03139604,0.1970471081519709
NCT04921969,-0.006468103287067817
NCT03359785,-0.05721593155066318
NCT04074161,0.034773855467654435
NCT05538312,-0.25940718871082524
NCT03697109,-0.2513089451181746
NCT04629703,-0.5782747561975731
NCT03759392,0.8056426257314742
NCT03574597,0.18475377557482586
NCT04102579,0.023764033662254214
NCT04725240,5.567204332603914
NCT03304054,0.2466843058471493
NCT03905330,0.13646636115186617
NCT02680574,0.6966759495812715
NCT03968159,0.02762802177873369
NCT03777436,0.09116337559588161
NCT03832114,-0.02228023542712254
NCT02725593,-0.09367284029142464
NCT04707469,0.33457670741986356
NCT02980731,0.17686324174819057
NCT03775200,-0.22263790965287056
NCT04124926,-0.2191589073672947
NCT03322540,-0.12162458819760702
NCT02929329,0.4289422891500949
NCT03345849,0.06194511702986283
NCT02755597,0.09408393979328289
NCT02201108,0.04943061799887993
NCT03682705,0.09629994984671697
NCT04795531,-0.025035726452209528
NCT04016779,0.11900920991599451
NCT01506609,0.11165752936709072
NCT03559699,-0.12058509565443387
NCT01945775,0.08228619287593619
NCT05174065,0.0859483944402053
NCT04627532,0.08228619287593619
NCT03689374,0.06790320582500331
