ticker,drug_name,indication,status,catalyst_date,mw,alpha,beta,car,raw_return,benchmark_return,est_days_dropped
RHHBY,Venetoclax and obinutuzumab,Chronic Lymphocytic Leukemia,Approved,2019-05-15,868.4,0.001201518514696565,0.22161119878880134,0.021566087184566426,0.024329340549659628,-0.01620588083966712,0
RIGL,Tavalissetm (Fostamatinib),Immune Thrombocytopenic Purpura (ITP),Approved,2018-04-17,580.5,0.0008660722197820428,1.079104108008254,0.05682988743036511,0.03836317285262303,-0.013709129937605646,1
RMTI,Soluble Ferric Pyrophosphate,Anemia,Approved,2015-01-26,497.72,-0.0062339619785051256,0.5420701688154391,0.036087424190132604,0.01640933103089326,0.024745592892778223,4
SIGA,TPOXX,Smallpox,Approved,2018-07-13,376.3,0.0018301064524334219,0.030595781117169363,0.0785651856458068,0.07526863725554844,0.007125879717476025,5
SNY,Admelog (insulin lispro injection),Diabetes,Approved,2017-12-11,5814.0,-0.00021876227166409772,0.21058392502780396,0.010521876525677685,0.01737316385199006,0.03714815947272765,0
SRNE,ZTlido (lidocaine patch 1.8%),Pain associated with post-herpetic neuralgia (PHN),Approved,2018-02-28,234.34,0.004808285728477577,1.1926123603944057,-0.20007496272339353,-0.20879126291835637,-0.006267960238656167,1
SUPN,Oxtellar XR,Epilepsy,Approved,2018-12-14,252.27,-3.497437419885445e-05,0.4611035046414056,-0.0225105720627376,-0.05354244366538985,-0.06618496994169876,2
TBPH,BREO ELLIPTA,Asthma,Approved,2015-04-30,1025.0,-0.00499938215463687,0.6029247091488956,-0.007592008690006695,-0.04640366865901979,-0.022132958336150033,1
TBPH,Revefenacin,COPD,Approved,2018-11-09,597.7,0.0008695421629961395,0.8514689488867115,0.08967277254501524,0.030125574568833358,-0.07160016612919418,2
TEVA,Trisenox,Acute Promyelocytic Leukemia,Approved,2018-01-15,197.841,-0.0014874457396716497,0.13380262154181585,0.04594309920197255,0.03343304083515242,-0.007902000875533388,4
TRVN,Oliceridine (TRV130),Moderate to severe acute pain,CRL,2018-11-02,386.6,-0.0020332606042716738,0.6735424796587054,-0.21489448722486662,-0.23832923832923836,0.062276864085607286,2
TXMD,Yuvvexy - TX-004HR,Moderate-to-severe vaginal pain,CRL,2017-05-08,272.4,0.0005504466008896466,0.906397574892931,-0.07633442648060917,-0.093816631130064,-0.018302907290479342,2
